24018854	Deficiency of phytochrome B alleviates chilling-induced photoinhibition in rice.	2013	Am J Bot	UNLABELLED: OrderedDict([('@Label', 'UNLABELLED')])
23990303	Cell-surface expression of Aspergillus saitoi-derived functional α-1,2-mannosidase on Yarrowia lipolytica for glycan remodeling.	2013	J Microbiol	Expression of proteins on the surface of yeast has a wide range of applications, such as development of live vaccines, screening of antibody libraries, and use as whole-cell biocatalysts. The hemiascomycetes yeast Yarrowia lipolytica has been raised as a potential host for heterologous expression of recombinant proteins. In this study, we report the expression of Aspergillus saitoi α-1,2-mannosidase, encoded by the msdS gene, on the cell surface of Y. lipolytica. As the first step to achieve the secretory expression of msdS protein, four different signal sequences-derived from the endogenous Y. lipolytica Lip2 and Xpr2 prepro regions and the heterologous A. niger α-amylase and rice α-amylase signal sequences-were analyzed for their secretion efficiency. It was shown that the YlLip2 prepro sequence was most efficient in directing the secretory expression of msdS in fully N-glycosylated forms. The surface display of msdS was subsequently directed by fusing GPI anchoring motifs derived from Y. lipolytica cell wall proteins, YlCwp1p and YlYwp1p, respectively, to the C-terminus of the Lip2 prepro-msdS protein. The expression of actively functional msdS protein on the cell surface was confirmed by western blot, flow cytometry analysis, along with the α-1,2-mannosidase activity assay using intact Y. lipolytica cells as the enzyme source. Furthermore, the glycoengineered Y. lipolytica Δoch1Δmpo1 strains displaying α-1,2-mannosidase were able to convert Man8GlcNAc2 to Man5GlcNAc2 efficiently on their cell-wall mannoproteins, demonstrating its potential used for glycoengineering in vitro or in vivo.
23950663	Treatment of symptomatic uterine fibroids with green tea extract: a pilot randomized controlled clinical study.	2013	Int J Womens Health	BACKGROUND: Uterine fibroids (UFs, also known as leiomyoma) affect 70% of reproductive-age women. Imposing a major burden on health-related quality-of-life (HRQL) of premenopausal women, UF is a public health concern. There are no effective medicinal treatment options currently available for women with symptomatic UF.

OBJECTIVES: To evaluate the efficacy and safety of green tea extract (epigallocatechin gallate [EGCG]) on UF burden and quality of life in women with symptomatic UF, in a double-blinded, placebo-controlled randomized clinical trial.

METHODS: A total of 39 reproductive-age women (age 18-50 years, day 3 serum follicle-stimulating hormone <10 \U/mL) with symptomatic UF were recruited for this study. All subjects had at least one fibroid lesion 2 cm(3) or larger, as confirmed by transvaginal ultrasonography. The subjects were randomized to oral daily treatment with either 800 mg of green tea extract (45% EGCG) or placebo (800 mg of brown rice) for 4 months, and UF volumes were measured at the end, also by transvaginal ultrasonography. The fibroid-specific symptom severity and HRQL of these UF patients were scored at each monthly visit, using the symptom severity and quality-of-life questionnaires. Student's t-test was used to evaluate statistical significance of treatment effect between the two groups.

RESULTS: Of the final 39 women recruited for the study, 33 were compliant and completed all five visits of the study. In the placebo group (n = 11), fibroid volume increased (24.3%) over the study period; however, patients randomized to green tea extract (n = 22, 800 mg/day) treatment showed significant reduction (32.6%, P = 0.0001) in total UF volume. In addition, EGCG treatment significantly reduced fibroid-specific symptom severity (32.4%, P = 0.0001) and induced significant improvement in HRQL (18.53%, P = 0.01) compared to the placebo group. Anemia also significantly improved by 0.7 g/dL (P = 0.02) in the EGCG treatment group, while average blood loss significantly decreased from 71 mL/month to 45 mL/month (P = 0.001). No adverse effects, endometrial hyperplasia, or other endometrial pathology were observed in either group.

CONCLUSION: EGCG shows promise as a safe and effective therapeutic agent for women with symptomatic UFs. Such a simple, inexpensive, and orally administered therapy can improve women's health globally.
23907258	Design and application of an in vivo reporter assay for phenylalanine ammonia-lyase.	2013	Appl Microbiol Biotechnol	Phenylalanine ammonia-lyase (PAL) is an important enzyme that links primary metabolism to secondary metabolism. Its efficiency is often a critical factor that affects the overall flux of a related metabolic pathway, the titer of the final products, and the efficacy of PAL-based therapies. Thus, PAL is a common target for metabolic engineering, and it is of significant interest to screen efficient PALs for industrial and medical applications. In this study, a novel and efficient visible reporter assay for screening of PAL efficiency in Escherichia coli was established based on a plant type III polyketide biosynthetic pathway. The candidate PALs were co-expressed with a 4-coumarate:CoA ligase 4CL1 from Arabidopsis thaliana and curcuminoid synthase (CUS) from Oryza sativa in E. coli BL21(DE3) to form a dicinnamoylmethane biosynthetic pathway. Taking advantage of the yellow color of the product, a microplate-based assay was designed to measure the titer of dicinnamoylmethane, which was validated by HPLC analysis. The different titers of the product reflect the overall performance (expression level and enzymatic activity) of the individual PALs in E. coli. Using this system, we have screened three PALs (PAL1, PAL3, and PAL4) from Trifolium pratense, among which PAL1 showed the best performance in E. coli. The engineered E. coli strain containing PAL1, 4CL1, and CUS led to the production of dicinnamoylmethane at a high level of 0.36 g/l. Supplement of 2-fluoro-phenylalanine yielded two fluorinated dicinnamoylmethane derivatives, 6,6'-difluoro-dicinnamoylmethane and 6-fluoro-dicinnamoylmethane, of which the latter is a new curcuminoid.
23986463	Mosquito larval source management for controlling malaria.	2013	Cochrane Database Syst Rev	BACKGROUND: Malaria is an important cause of illness and death in people living in many parts of the world, especially sub-Saharan Africa. Long-lasting insecticide treated bed nets (LLINs) and indoor residual spraying (IRS) reduce malaria transmission by targeting the adult mosquito vector and are key components of malaria control programmes. However, mosquito numbers may also be reduced by larval source management (LSM), which targets mosquito larvae as they mature in aquatic habitats. This is conducted by permanently or temporarily reducing the availability of larval habitats (habitat modification and habitat manipulation), or by adding substances to standing water that either kill or inhibit the development of larvae (larviciding).

OBJECTIVES: To evaluate the effectiveness of mosquito LSM for preventing malaria.

SEARCH METHODS: We searched the Cochrane Infectious Diseases Group Specialized Register; Cochrane Central Register of Controlled Trials (CENTRAL); MEDLINE; EMBASE; CABS Abstracts; and LILACS up to 24 October 2012. We handsearched the Tropical Diseases Bulletin from 1900 to 2010, the archives of the World Health Organization (up to 11 February 2011), and the literature database of the Armed Forces Pest Management Board (up to 2 March 2011). We also contacted colleagues in the field for relevant articles.

SELECTION CRITERIA: We included cluster randomized controlled trials (cluster-RCTs), controlled before-and-after trials with at least one year of baseline data, and randomized cross-over trials that compared LSM with no LSM for malaria control. We excluded trials that evaluated biological control of anopheline mosquitoes with larvivorous fish.

DATA COLLECTION AND ANALYSIS: At least two authors assessed each trial for eligibility. We extracted data and at least two authors independently determined the risk of bias in the included studies. We resolved all disagreements through discussion with a third author. We analyzed the data using Review Manager 5 software.

MAIN RESULTS: We included 13 studies; four cluster-RCTs, eight controlled before-and-after trials, and one randomized cross-over trial. The included studies evaluated habitat modification (one study), habitat modification with larviciding (two studies), habitat manipulation (one study), habitat manipulation plus larviciding (two studies), or larviciding alone (seven studies) in a wide variety of habitats and countries. Malaria incidenceIn two cluster-RCTs undertaken in Sri Lanka, larviciding of abandoned mines, streams, irrigation ditches, and rice paddies reduced malaria incidence by around three-quarters compared to the control (RR 0.26, 95% CI 0.22 to 0.31, 20,124 participants, two trials, moderate quality evidence). In three controlled before-and-after trials in urban and rural India and rural Kenya, results were inconsistent (98,233 participants, three trials, very low quality evidence). In one trial in urban India, the removal of domestic water containers together with weekly larviciding of canals and stagnant pools reduced malaria incidence by three quarters. In one trial in rural India and one trial in rural Kenya, malaria incidence was higher at baseline in intervention areas than in controls. However dam construction in India, and larviciding of streams and swamps in Kenya, reduced malaria incidence to levels similar to the control areas. In one additional randomized cross-over trial in the flood plains of the Gambia River, where larval habitats were extensive and ill-defined, larviciding by ground teams did not result in a statistically significant reduction in malaria incidence (2039 participants, one trial). Parasite prevalenceIn one cluster-RCT from Sri Lanka, larviciding reduced parasite prevalence by almost 90% (RR 0.11, 95% CI 0.05 to 0.22, 2963 participants, one trial, moderate quality evidence). In five controlled before-and-after trials in Greece, India, the Philippines, and Tanzania, LSM resulted in an average reduction in parasite prevalence of around two-thirds (RR 0.32, 95% CI 0.19 to 0.55, 8041 participants, five trials, moderate quality evidence). The interventions in these five trials included dam construction to reduce larval habitats, flushing of streams, removal of domestic water containers, and larviciding. In the randomized cross-over trial in the flood plains of the Gambia River, larviciding by ground teams did not significantly reduce parasite prevalence (2039 participants, one trial).

AUTHORS' CONCLUSIONS: In Africa and Asia, LSM is another policy option, alongside LLINs and IRS, for reducing malaria morbidity in both urban and rural areas where a sufficient proportion of larval habitats can be targeted. Further research is needed to evaluate whether LSM is appropriate or feasible in parts of rural Africa where larval habitats are more extensive.
23974369	Biases in community structures of ammonia/ammonium-oxidizing microorganisms caused by insufficient DNA extractions from Baijiang soil revealed by comparative analysis of coastal wetland sediment and rice paddy soil.	2013	Appl Microbiol Biotechnol	Repetitive extraction of DNAs from surface sediments of a coastal wetland in Mai Po Nature Reserve (MP) of Hong Kong and surface Baijiang soils from a rice paddy (RP) in Northeast China was conducted to compare the microbial diversity in this study. Community structures of ammonia/ammonium-oxidizing microorganisms in these samples were analyzed by PCR-DGGE technique. The diversity and abundance of ammonia-oxidizing archaea (AOA), ammonia-oxidizing bacteria (AOB), and anaerobic ammonium-oxidizing (anammox) bacteria were also analyzed based on archaeal and bacterial ammonia monooxygenase subunit A encoding (amoA) and anammox bacterial 16S rRNA genes, respectively. DGGE profiles of archaeal and bacterial amoA and anammox bacterial 16S rRNA genes showed a similar pattern among all five repetitively extracted DNA fractions from both MP and RP, except the anammox bacteria in RP, indicating a more diverse anammox community retrieved in the second to the fifth fractions than the first one. Both soil and marine group AOA were detected while soil and coastal group AOB and Scalindua-anammox bacteria were dominant in MP. Soil group AOA and marine group AOB were dominant in RP, while both Scalindua and Kuenenia species were detected in RP. Pearson correlation analysis showed that the abundance of archaeal and bacterial amoA and anammox bacterial 16S rRNA genes was significantly correlated with the DNA concentrations of the five DNA fractions from MP, but not from RP (except the archaeal amoA gene). Results suggest that anammox bacteria diversity may be biased by insufficient DNA extraction of rice paddy soil samples.
23939432	Suppression of the external mitochondrial NADPH dehydrogenase, NDB1, in Arabidopsis thaliana affects central metabolism and vegetative growth.	2014	Mol Plant	Ca(2+)-dependent oxidation of cytosolic NADPH is mediated by NDB1, which is an external type II NADPH dehydrogenase in the plant mitochondrial electron transport chain. Using RNA interference, the NDB1 transcript was suppressed by 80% in Arabidopsis thaliana plants, and external Ca(2+)-dependent NADPH dehydrogenase activity became undetectable in isolated mitochondria. This was linked to a decreased level of NADP(+) in rosettes of the transgenic lines. Sterile-grown transgenic seedlings displayed decreased growth specifically on glucose, and respiratory metabolism of (14)C-glucose was increased. On soil, NDB1-suppressing plants had a decreased vegetative biomass, but leaf maximum quantum efficiency of photosystem II and CO2 assimilation rates, as well as total respiration, were similar to the wild-type. The in vivo alternative oxidase activity and capacity were also similar in all genotypes. Metabolic profiling revealed decreased levels of sugars, citric acid cycle intermediates, and amino acids in the transgenic lines. The NDB1-suppression induced transcriptomic changes associated with protein synthesis and glucosinolate and jasmonate metabolism. The transcriptomic changes also overlapped with changes observed in a mutant lacking ABAINSENSITIVE4 and in A. thaliana overexpressing stress tolerance genes from rice. The results thus indicate that A. thaliana NDB1 modulates NADP(H) reduction levels, which in turn affect central metabolism and growth, and interact with defense signaling.
23984709	Interaction between two rice mitogen activated protein kinases and its possible role in plant defense.	2013	BMC Plant Biol	BACKGROUND: The canonical mitogen activated protein kinase (MAPK) signaling pathway plays a vital role in carrying out the normal growth and development of the plant. The pathway, connecting the upstreams signal with the downstream target is considered to be linear, mostly starting with a MAPKKK and ending in a MAPK.

RESULTS: Here we report a novel interaction between two rice MAPKs, OsMPK20-4 and OsMPK3 suggesting the complex nature of the pathway rather than a linear one at individual steps. The interaction between OsMPK20-4 and OsMPK3 found by yeast two-hybrid analysis was confirmed in planta by co-immunoprecipitation and fluorescence resonance energy transfer (FRET) assays. The interaction is specific and is phosphorylation independent. The results suggest a role of the interaction between OsMPK20-4 and OsMPK3 in basic plant defense.

CONCLUSIONS: The current novel work showing the physical interaction between two plant MAPKs, OsMPK20-4 and OsMPK3 is the diversion from the dogma of a typical MAPK cascade thereby opening a new dimension to the MAPK signal transduction.
23975147	Coexpression network analysis associated with call of rice seedlings for encountering heat stress.	2014	Plant Mol Biol	Coexpression network analysis is useful tool for identification of functional association of coexpressed genes. We developed a coexpression network of rice from heat stress transcriptome data. Global transcriptome of rice leaf tissues was performed by microarray at three time points--post 10 and 60 min heat stress at 42 °C and 30 min recovery at 26 °C following 60 min 42 °C heat stress to investigate specifically the early events in the heat stress and recovery response. The transcriptome profile was significantly modulated within 10 min of heat stress. Strikingly, the number of up-regulated genes was higher than the number of down-regulated genes in 10 min of heat stress. The enrichment of GO terms protein kinase activity/protein serine threonine kinase activity, response to heat and reactive oxygen species in up-regulated genes after 10 min signifies the role of signal transduction events and reactive oxygen species during early heat stress. The enrichment of transcription factor (TF) binding sites for heat shock factors, bZIPs and DREBs coupled with up-regulation of TFs of different families suggests that the heat stress response in rice involves integration of various regulatory networks. The interpretation of microarray data in the context of coexpression network analysis identified several functionally correlated genes consisting of previously documented heat upregulated genes as well as new genes that can be implicated in heat stress. Based on the findings on parallel analysis of growth of seedlings, associated changes in transcripts of selected Hsps, genome-wide microarray profiling and the coexpression network analysis, this study is a step forward in understanding heat response of rice, the world's most important food crop.
23979931	Disruption of the rice plastid ribosomal protein s20 leads to chloroplast developmental defects and seedling lethality.	2013	G3 (Bethesda)	Plastid ribosomal proteins (PRPs) are essential for ribosome biogenesis, plastid protein biosynthesis, chloroplast differentiation, and early chloroplast development. This study identifies the first rice PRP mutant, asl1 (albino seedling lethality1), which exhibits an albino lethal phenotype at the seedling stage. This albino phenotype was associated with altered chlorophyll (Chl) content and chloroplast development. Map-based cloning revealed that ASL1 encodes PRP S20 (PRPS20), which localizes to the chloroplast. ASL1 showed tissue-specific expression, as it was highly expressed in plumule and young seedlings but expressed at much lower levels in other tissues. In addition, ASL1 expression was regulated by light. The transcript levels of nuclear genes for Chl biosynthesis and chloroplast development were strongly affected in asl1 mutants; transcripts of some plastid genes for photosynthesis were undetectable. Our findings indicate that nuclear-encoded PRPS20 plays an important role in chloroplast development in rice.
23934749	Crystal structures of α-dioxygenase from Oryza sativa: insights into substrate binding and activation by hydrogen peroxide.	2013	Protein Sci	α-Dioxygenases (α-DOX) are heme-containing enzymes found predominantly in plants and fungi, where they generate oxylipins in response to pathogen attack. α-DOX oxygenate a variety of 14-20 carbon fatty acids containing up to three unsaturated bonds through stereoselective removal of the pro-R hydrogen from the α-carbon by a tyrosyl radical generated via the oxidation of the heme moiety by hydrogen peroxide (H2 O2 ). We determined the X-ray crystal structures of wild type α-DOX from Oryza sativa, the wild type enzyme in complex with H2 O2 , and the catalytically inactive Y379F mutant in complex with the fatty acid palmitic acid (PA). PA binds within the active site cleft of α-DOX such that the carboxylate forms ionic interactions with His-311 and Arg-559. Thr-316 aids in the positioning of carbon-2 for hydrogen abstraction. Twenty-five of the twenty eight contacts made between PA and residues lining the active site occur within the carboxylate and first eight carbons, indicating that interactions within this region of the substrate are responsible for governing selectivity. Comparison of the wild type and H2 O2 structures provides insight into enzyme activation. The binding of H2 O2 at the distal face of the heme displaces residues His-157, Asp-158, and Trp-159 ≈ 2.5 Å from their positions in the wild type structure. As a result, the Oδ2 atom of Asp-158 interacts with the Ca atom in the calcium binding loop, the side chains of Trp-159 and Trp-213 reorient, and the guanidinium group of Arg-559 is repositioned near Tyr-379, poised to interact with the carboxylate group of the substrate.
23914840	Coupled unimolecular dissociation kinetics of bromotoluene radical cations.	2013	J Phys Chem A	The unimolecular dissociations of o-, m-, and p-bromotoluene radical cations to C7H7(+) (benzylium and tropylium) are examined by considering the coupling of the three isomers in the dissociation pathways. The potential energy surface obtained from ab initio calculations suggests the interconversion of isomers through methylene and hydrogen migrations on the ring. The rate equations for each isomer are combined together to form a rate matrix for coupled reactions. The rate matrix contains the microcanonical rate constants for all elementary steps, which are calculated using Rice-Ramsperger-Kassel-Marcus theory based on the molecular parameters obtained from density functional theory. The unimolecular dissociation rates for coupled reactions are determined by numerically solving the matrix equation. As a result of reaction coupling, the product branching ratio becomes time-dependent and the reaction rates of three isomers become parallel to one another as the energy increases, although their initial rates differently vary with energy. The calculated rate-energy curves fall below the time-resolved photodissociation data in the energy range 2.2-2.7 eV but are in line with the photoelectron photoion coincidence data in the energy range 2.7-3.5 eV. The discrepancy between experiment and theory in the low-energy region is ascribed to the uncertainties of the potential energy surface as well as the contribution of the radiative relaxation rate that has not been taken into account in the theoretical calculations. The rate-energy curves are then used to calculate the thermal reaction rate constants, and the Arrhenius parameters are determined in the temperature range 700-1300 K. Comparison of the activation energy and entropy obtained from the Arrhenius plot with the calculated enthalpy and entropy changes between the reactant and the highest-lying transition state suggests that a series of [1,2] H-atom migrations occurring near the entrance comprise the rate-determining steps and the subsequent [1,2] H-atom migrations play an important role in increasing the activation energy and decreasing the entropy by reducing the net flux to the exit.
23975246	Gene discovery and functional marker development for fragrance in sorghum (Sorghum bicolor (L.) Moench).	2013	Theor Appl Genet	KEY MESSAGE: Sequence analysis and genetic mapping revealed that a 1,444 bp deletion causes a premature stop codon in SbBADH2 of sorghum IS19912. The non-function of SbBADH2 is responsible for fragrance in sorghum IS19912. 2-acetyl-1-pyrroline (2AP) is a potent volatile compound causing fragrance in several plants and foods. Seeds of some varieties of rice, sorghum and soybean possess fragrance. The genes responsible for fragrance in rice and soybean are orthologs that correspond to betaine aldehyde dehydrogenase 2 (BADH2). Genotypes harboring fragrance in rice and soybean contain a premature stop codon in BADH2 which impairs the synthesis of full length functional BADH2 protein leading to the accumulation of 2AP. In this study, we reported an association between the BADH2 gene and fragrance in sorghum. An F2 population of 187 plants developed from a cross between KU630 (non-fragrant) and IS19912 (fragrant) was used. Leaves of F2 and F3 progenies were evaluated for fragrance by organoleptic test, while seeds of F2 plants were analyzed for 2AP. The tests consistently showed that the fragrance is controlled by a single recessive gene. Gene expression analysis of SbBADH1 and SbBADH2 in leaves of KU630 and IS19912 at various stages revealed that SbBADH1 and SbBADH2 were expressed in both accessions. Sequence comparison between KU630 and IS19912 revealed a continuous 1,444 bp deletion encompassing exon 12 to 15 of SbBADH2 in IS19912 which introduces a frameshift mutation and thus causes a premature stop codon. An indel marker was developed to detect polymorphism in SbBADH2. Bulk segregant and QTL analyses confirmed the association between SbBADH2 and fragrance.
23990797	Brittle Culm1, a COBRA-like protein, functions in cellulose assembly through binding cellulose microfibrils.	2013	PLoS Genet	Cellulose represents the most abundant biopolymer in nature and has great economic importance. Cellulose chains pack laterally into crystalline forms, stacking into a complicated crystallographic structure. However, the mechanism of cellulose crystallization is poorly understood. Here, via functional characterization, we report that Brittle Culm1 (BC1), a COBRA-like protein in rice, modifies cellulose crystallinity. BC1 was demonstrated to be a glycosylphosphatidylinositol (GPI) anchored protein and can be released into cell walls by removal of the GPI anchor. BC1 possesses a carbohydrate-binding module (CBM) at its N-terminus. In vitro binding assays showed that this CBM interacts specifically with crystalline cellulose, and several aromatic residues in this domain are essential for binding. It was further demonstrated that cell wall-localized BC1 via the CBM and GPI anchor is one functional form of BC1. X-ray diffraction (XRD) assays revealed that mutations in BC1 and knockdown of BC1 expression decrease the crystallite width of cellulose; overexpression of BC1 and the CBM-mutated BC1s caused varied crystallinity with results that were consistent with the in vitro binding assay. Moreover, interaction between the CBM and cellulose microfibrils was largely repressed when the cell wall residues were pre-stained with two cellulose dyes. Treating wild-type and bc1 seedlings with the dyes resulted in insensitive root growth responses in bc1 plants. Combined with the evidence that BC1 and three secondary wall cellulose synthases (CESAs) function in different steps of cellulose production as revealed by genetic analysis, we conclude that BC1 modulates cellulose assembly by interacting with cellulose and affecting microfibril crystallinity.
23954326	Selection of reference genes for gene expression studies in virus-infected monocots using quantitative real-time PCR.	2013	J Biotechnol	Both genome-wide transcriptomic surveys of the mRNA expression profiles and virus-induced gene silencing-based molecular studies of target gene during virus-plant interaction involve the precise estimation of the transcript abundance. Quantitative real-time PCR (qPCR) is the most widely adopted technique for mRNA quantification. In order to obtain reliable quantification of transcripts, identification of the best reference genes forms the basis of the preliminary work. Nevertheless, the stability of internal controls in virus-infected monocots needs to be fully explored. In this work, the suitability of ten housekeeping genes (ACT, EF1α, FBOX, GAPDH, GTPB, PP2A, SAND, TUBβ, UBC18 and UK) for potential use as reference genes in qPCR were investigated in five different monocot plants (Brachypodium, barley, sorghum, wheat and maize) under infection with different viruses including Barley stripe mosaic virus (BSMV), Brome mosaic virus (BMV), Rice black-streaked dwarf virus (RBSDV) and Sugarcane mosaic virus (SCMV). By using three different algorithms, the most appropriate reference genes or their combinations were identified for different experimental sets and their effectiveness for the normalisation of expression studies were further validated by quantitative analysis of a well-studied PR-1 gene. These results facilitate the selection of desirable reference genes for more accurate gene expression studies in virus-infected monocots.
23933238	Chemical constituents from the rice fermented with the edible mushroom Pleurotus eryngii and their quinone oxidoreductase 1 inducing effect.	2013	Fitoterapia	The fruiting bodies or mycelia of mushrooms have been used as food and food-flavoring material for centuries due to their nutritional and medicinal values and the diversity of their bioactive components. The present research was the first to study the chemical components in rice fermented with the edible mushroom Pleurotus eryngii and the quinone oxidoreductase 1 inducing effect of these compounds. Through chemical investigation, one new compound, ((6S,7S)-6,7-dihydroxy-6-methyl-2-(3-methylbutanoyl)-4,5,6,7-tetrahydrobenzofuran-3-yl)methyl acetate (1) and eight known compounds (2-9) were isolated from the P. eryngii-fermented rice. All of these compounds were isolated from rice fermented with the edible mushroom P. eryngii for the first time. Their structures were elucidated by MS and NMR data analyses. Alternariol-5-O-methyl ether (2) showed strong quinone oxidoreductase 1 inducing effect with an IR value of 2.58 at the concentration of 20 μg/ml. The content of adenosine (8) in the fermented rice (175.64 μg/g) is much higher than that of non-fermented rice (14.38 μg/g).
23951162	Characterization and evolution of conserved MicroRNA through duplication events in date palm (Phoenix dactylifera).	2013	PLoS One	MicroRNAs (miRNAs) are important regulators of gene expression at the post-transcriptional level in a wide range of species. Highly conserved miRNAs regulate ancestral transcription factors common to all plants, and control important basic processes such as cell division and meristem function. We selected 21 conserved miRNA families to analyze the distribution and maintenance of miRNAs. Recently, the first genome sequence in Palmaceae was released: date palm (Phoenix dactylifera). We conducted a systematic miRNA analysis in date palm, computationally identifying and characterizing the distribution and duplication of conserved miRNAs in this species compared to other published plant genomes. A total of 81 miRNAs belonging to 18 miRNA families were identified in date palm. The majority of miRNAs in date palm and seven other well-studied plant species were located in intergenic regions and located 4 to 5 kb away from the nearest protein-coding genes. Sequence comparison showed that 67% of date palm miRNA members were present in duplicated segments, and that 135 pairs of miRNA-containing segments were duplicated in Arabidopsis, tomato, orange, rice, apple, poplar and soybean with a high similarity of non coding sequences between duplicated segments, indicating genomic duplication was a major force for expansion of conserved miRNAs. Duplicated miRNA pairs in date palm showed divergence in pre-miRNA sequence and in number of promoters, implying that these duplicated pairs may have undergone divergent evolution. Comparisons between date palm and the seven other plant species for the gain/loss of miR167 loci in an ancient segment shared between monocots and dicots suggested that these conserved miRNAs were highly influenced by and diverged as a result of genomic duplication events.
23940254	The ureide-degrading reactions of purine ring catabolism employ three amidohydrolases and one aminohydrolase in Arabidopsis, soybean, and rice.	2013	Plant Physiol	Several ureides are intermediates of purine base catabolism, releasing nitrogen from the purine nucleotides for reassimilation into amino acids. In some legumes like soybean (Glycine max), ureides are used for nodule-to-shoot translocation of fixed nitrogen. Four enzymes of Arabidopsis (Arabidopsis thaliana), (1) allantoinase, (2) allantoate amidohydrolase (AAH), (3) ureidoglycine aminohydrolase, and (4) ureidoglycolate amidohydrolase (UAH), catalyze the complete hydrolysis of the ureide allantoin in vitro. However, the metabolic route in vivo remains controversial. Here, in growth and metabolite analyses of Arabidopsis mutants, we demonstrate that these enzymes are required for allantoin degradation in vivo. Orthologous enzymes are present in soybean, encoded by one to four gene copies. All isoenzymes are active in vitro, while some may be inefficiently translated in vivo. Surprisingly, transcript and protein amounts are not significantly regulated by nitrogen fixation or leaf ureide content. A requirement for soybean AAH and UAH for ureide catabolism in leaves has been demonstrated by the use of virus-induced gene silencing. Functional AAH, ureidoglycine aminohydrolase, and UAH are also present in rice (Oryza sativa), and orthologous genes occur in all other plant genomes sequenced to date, indicating that the amidohydrolase route of ureide degradation is universal in plants, including mosses (e.g. Physcomitrella patens) and algae (e.g. Chlamydomomas reinhardtii).
23955173	Sequence organization and evolutionary dynamics of Brachypodium-specific centromere retrotransposons.	2013	Chromosome Res	Brachypodium distachyon is a wild annual grass belonging to the Pooideae, more closely related to wheat, barley, and forage grasses than rice and maize. As an experimental model, the completed genome sequence of B. distachyon provides a unique opportunity to study centromere evolution during the speciation of grasses. Centromeric satellite sequences have been identified in B. distachyon, but little is known about centromeric retrotransposons in this species. In the present study, bacterial artificial chromosome (BAC)-fluorescence in situ hybridization was conducted in maize, rice, barley, wheat, and rye using B. distachyon (Bd) centromere-specific BAC clones. Eight Bd centromeric BAC clones gave no detectable fluorescence in situ hybridization (FISH) signals on the chromosomes of rice and maize, and three of them also did not yield any FISH signals in barley, wheat, and rye. In addition, four of five Triticeae centromeric BAC clones did not hybridize to the B. distachyon centromeres, implying certain unique features of Brachypodium centromeres. Analysis of Brachypodium centromeric BAC sequences identified a long terminal repeat (LTR)-centromere retrotransposon of B. distachyon (CRBd1). This element was found in high copy number accounting for 1.6 % of the B. distachyon genome, and is enriched in Brachypodium centromeric regions. CRBd1 accumulated in active centromeres, but was lost from inactive ones. The LTR of CRBd1 appears to be specific to B. distachyon centromeres. These results reveal different evolutionary events of this retrotransposon family across grass species.
23974358	Analysis of DNA repair helicase UvrD from Arabidopsis thaliana and Oryza sativa.	2013	Plant Physiol Biochem	Mismatch repair (MMR) proteins play important roles in maintaining genome stability in all the organisms. Studies of MMR genes in plants have identified several homologs of the Escherichia coli genes. Crop yield is directly related to genome stability, which is crucially required for optimal plant growth and development. Numerous genotoxic stresses such as UV light, radiations, pollutants and heavy metals cause DNA damage leading to genome instability, which can interfere with the plant growth and crop productivity. But the efficient repair mechanisms can help to overcome the deleterious effects of the damage. Therefore it is important to study the genes involved in various repair pathways in the plants in greater detail. UvrD helicase is a component of MMR complex and plays an essential role in the DNA repair by providing the unwinding function. In the present manuscript we present an in silico analysis of UvrD helicase from two plant species (Arabidopsis and rice). The Arabidopsis thaliana and Oryza sativa UvrD are 1149 (~129 kDa) and 1165 amino-acids (~130 kDa) proteins, respectively. These proteins contain all the conserved domains and are larger than the E. coli UvrD because they contain a longer N-terminal extension. In order to decipher the role of plant UvrD in various stresses it will be important to study the biochemical and functional properties of this enzyme.
23971515	Comparative proteomics analysis of the rice roots colonized by Herbaspirillum seropedicae strain SmR1 reveals induction of the methionine recycling in the plant host.	2013	J Proteome Res	Although the use of plant growth-promoting bacteria in agriculture is a reality, the molecular basis of plant-bacterial interaction is still poorly understood. We used a proteomic approach to study the mechanisms of interaction of Herbaspirillum seropedicae SmR1 with rice. Root proteins of rice seedlings inoculated or noninoculated with H. seropedicae were separated by 2-D electrophoresis. Differentially expressed proteins were identified by MALDI-TOF/TOF and MASCOT program. Among the identified proteins of H. seropedicae, the dinitrogenase reductase NifH and glutamine synthetase GlnA, which participate in nitrogen fixation and ammonium assimilation, respectively, were the most abundant. The rice proteins up-regulated included the S-adenosylmethionine synthetase, methylthioribose kinase, and acireductone dioxygenase 1, all of which are involved in the methionine recycling. S-Adenosylmethionine synthetase catalyzes the synthesis of S-adenosylmethionine, an intermediate used in transmethylation reactions and in ethylene, polyamine, and phytosiderophore biosynthesis. RT-qPCR analysis also confirmed that the methionine recycling and phytosiderophore biosynthesis genes were up-regulated, while ACC oxidase mRNA level was down-regulated in rice roots colonized by bacteria. In agreement with these results, ethylene production was reduced approximately three-fold in rice roots colonized by H. seropedicae. The results suggest that H. seropedicae stimulates methionine recycling and phytosiderophore synthesis and diminishes ethylene synthesis in rice roots.
